id;name;image;subcategory;category;price
1;7up Cool Drink;7up_Cool_Drink_Pet.jpg;Beverages;Food;35.0
1060;Yardley London Imperial Jasmine Soap;Yardley_London_Imperial_Jasmine_Soap.jpg;Bath;Personal Care;180.0
7;Aachi Gulab Jamun Mix Buy 1 Get 1 Free;Aachi_Gulab_Jamun_Mix_Buy_1_Get_1_Free.png;Dessert;Food;99
