"id";"name";"description";"price";"Qty";"image";"subcategory";"category"
1;"7up Cool Drink";"7up Cool Drink";"35";1;"7up_Cool_Drink_Pet.jpg";"Beverages";"Food"
2;"A2b Madras Mixture";"A2b Madras Mixture";"10";1;"A2b_Madras_Mixture.png";"Snacks";"Food"
3;"A2b Masala Peanuts";"A2b Masala Peanuts";"10";1;"A2b_Masala_Peanuts.png";"Snacks";"Food"
4;"A2b Peanuts Salted";"A2b Peanuts Salted";"10";1;"A2b_Peanuts_Salted.png";"Snacks";"Food"
5;"A2b Pepper Sev";"A2b Pepper Sev";"10";1;"A2b_Pepper_Sev.png";"Snacks.";"Food"
6;"Aachi Badham Drink Mix Buy 1 Get 1 Free";"Aachi Badham Drink Mix Buy 1 Get 1 Free";"125";1;"Aachi_Badham_Drink_Mix_Buy_1_Get_1_Free.png";"Dairy";"Food"
7;"Aachi Gulab Jamun Mix Buy 1 Get 1 Free";"Aachi Gulab Jamun Mix Buy 1 Get 1 Free";"99";1;"Aachi_Gulab_Jamun_Mix_Buy_1_Get_1_Free.png";"Dessert";"Food"
8;"Aashirvaad Sharbati Atta";"Aashirvaad Sharbati Atta";"56";1;"Aashirvaad_Sharbati_Atta.png";"Flour";"Food"
9;"Aashirvaad Superior MP Atta";"Aashirvaad Superior MP Atta";"53;28";1;"Aashirvaad_Superior_MP_Atta.jpg";"Flour";"Food"
10;"Aavin Premium Milk";"Aavin Premium Milk";"22.5";1;"Aavin_Premium_Milk.png";"Dairy";"Food"
11;"Ariel Matic Front Loaded Detergent Powder";"Ariel Matic Front Loaded Detergent Powder";"520;126";1;"Ariel_Matric_Front_Loaded_Detergent_Power.png";"Laundry";"Household"
12;"Air Wick Aromas Of Kashmir Rose & Saffron Freshmatic Refill";"Air Wick Aromas Of Kashmir Rose & Saffron Freshmatic Refill";"299";1;"Air_Wick_Aromas_Of_Kashmir_Rose_Saffron_Freshmatic_Refill.jpg";"Air freshener";"Household"
13;"Amul Unsalted Butter";"Amul Unsalted Butter";"2250";1;"Amul_Unsalted_Butter.jpg";"Dairy";"Food"
14;"Anil Iddiyappam Flour";"Anil Iddiyappam Flour";"36";1;"Anil_Iddiyappam_Flour.png";"Condiments";"Food"
15;"Anil Roasted Vermicelli";"Anil Roasted Vermicelli";"16.5";1;"Anil_Roasted_Vermicelli.png";"Noodles";"Food"
16;"Annapoorna Gulab Jamun Mix";"Annapoorna Gulab Jamun Mix";"95";1;"Annapoorna_Gulab_Jamun_Mix.png";"Dessert";"Food"
17;"Annapoorna Payasam Mix";"Annapoorna Payasam Mix";"10;65";1;"Annapoorna_Payasam_Mix.png";"Dairy";"Food"
18;"Annapurna Iodised Power Salt";"Annapurna Iodised Power Salt";"16";1;"Annapurna_Iodised_Power_Salt.png";"Condiments";"Food"
19;"Appy Apple Juice Drink";"Appy Apple Juice Drink";"10";1;"Appy_Apple_Juice_Drink.png";"Beverages";"Food"
20;"Appy Fizz Apple Drink";"Appy Fizz Apple Drink";"15";1;"Appy_Fizz_Apple_Drink.jpeg";"Beverages";"Food"
21;"Appy Fizz Apple Juice";"Appy Fizz Apple Juice";"30";1;"Appy_Fizz_Apple_Juice.jpg";"Beverages";"Food"
22;"Aquafina Drinking Water";"Aquafina Drinking Water";"28";1;"Aquafina_Drinking_Water.jpg";"Beverages";"Food"
23;"Airel Colour Detergent Powder";"Airel Colour Detergent Powder";"260";1;"Airel_Colour_Detergent_Powder.png";"Laundry";"Household"
24;"Ariel Matic Liquid Detergent";"Ariel Matic Liquid Detergent";"225;425";1;"Ariel_Matic_Liquid_Detergent.png";"Laundry";"Household"
25;"Aruna Platinum Super Premium Raw Rice";"Aruna Platinum Super Premium Raw Rice";"1030";1;"Aruna_Platinum_Super_Premium_Raw_Rice.png";"Rice.";"Food"
26;"Axe Signature Ticket Body Perfume";"Axe Signature Ticket Body Perfume";"65";1;"Axe_Signature_Ticket_Body_Perfume.png";"Personal care";"Personal Care"
27;"Basmati Queen Royal Tast Of Basmathi Rice";"Basmati Queen Royal Tast Of Basmathi Rice";"156";1;"Basmati_Queen_Royal_Tast_Of_Basmathi_Rice.png";"Rice.";"Food"
28;"Best Salt Iodised Crystal Salt";"Best Salt Iodised Crystal Salt";"16";1;"Best_Salt_Iodised_Crystal_Salt.png";"Condiments";"Food"
29;"Best Salt Iodised Free Flow Salt";"Best Salt Iodised Free Flow Salt";"17";1;"Best_Salt_Iodised_Free_Flow_Salt.png";"Condiments";"Food"
30;"Boost Chocolate Flavour Energy Drink";"Boost Chocolate Flavour Energy Drink";"30";1;"Boost_Chocolate_Flavour_Energy_Drink.png";"Beverages";"Food"
31;"Boost Protein Powder";"Boost Protein Powder";"227;433;32";1;"Boost_Protein_Powder.png";"Beverages";"Food"
32;"Britannia Bourbon Cream Biscuits";"Britannia Bourbon Cream Biscuits";"20";1;"Britannia_Bourbon_Cream_Biscuits.png";"Biscuits";"Food"
33;"Britannia Good Day Butter Cookies Biscuits";"Britannia Good Day Butter Cookies Biscuits";"50";1;"Britannia_Good_Day_Butter_Cookies_Biscuits.png";"Biscuits";"Food"
34;"Britannia Milano Delight Choco Biscuits";"Britannia Milano Delight Choco Biscuits";"35";1;"Britannia_Milano_Delight_Choco_Biscuits.png";"Cookies";"Food"
35;"Britannia Nutri Choice Digestives Biscuits";"Britannia Nutri Choice Digestives Biscuits";"10";1;"Britannia_Nutri_Choice_Digestives_Biscuits.png";"Biscuits";"Food"
36;"Britannia Nutri Choice Oats Orange";"Britannia Nutri Choice Oats Orange";"25";1;"Britannia_Nutri_Choice_Oats_Orange_Britannia.png";"Cookies";"Food"
